edad,genero,pais,is_condicion_fisica,detalle_condicion,nivel_expereincia_previo,condicion_previa,motivo,n_acompañantes,epoca,is_camino_realizado_prev,ruta,dias,inicio,distancia,dureza,calzado,is_calzado_adecuado,is_tr_mochila,is_reserva_aloj,alojamiento,hace_cuanto,is_volver_a_hacer,etapa_ideal,nota,is_lesion,consejos,modo_realizacion
23.0,Mujer,España,1,Ligamentos de la rodilla con facilidad de torcedura ,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,Desconocido,Primavera,1,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,1,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, moderado",Sin respuesta,A pie
32.0,Mujer,Italia,0,No,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,3.0,Verano,0,Portugués,6.0,Porto,200,Muy variables,Zapatillas de trail running,1,1,0,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),7,"Sí, moderado",Sin respuesta,A pie
23.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,Desconocido,Verano,1,Primitivo,6.0,Lugo,100,Muy variables,Botas de montaña,1,0,1,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve",Sin respuesta,A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Religioso, Cultural/turístico, Personal/reflexivo",3.0,Primavera,0,Portugués,6.0,Tui,100,Moderadas,Zapatillas de trail running,1,0,1,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Recomendaría prepararse físicamente con antelación, llevar solo lo esencial y usar calzado ya adaptado. Es importante caminar a tu ritmo, sin compararte, y mantener una actitud abierta. El Camino no es solo un recorrido físico, sino también una experiencia personal y humana muy enriquecedora.",A pie
15.0,Mujer,España,0,ninguna,Ninguna,Media,Religioso,6.0,Primavera,0,Francés,6.0,Sarria,100,Muy variables,Sandalias de trekking,1,1,1,"Albergues públicos, Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Disfrutar, aunque algunas veces pienses que no puedes, no dudes en seguir adelante porque la satisfacción al llegar a la catedral es única.",A pie
26.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Alta,Cultural/turístico,Desconocido,Verano,0,Francés,5.0,Sarria,100,Suaves,Zapatillas de trail running,1,0,1,Albergues públicos,Este año,Sí,Largas y exigentes (≥ 25 km),9,No,Sin respuesta,A pie
26.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Alta,Personal/reflexivo,Desconocido,Verano,0,Portugués,6.0,La Guardia,100,Moderadas,Zapatillas deportivas normales,1,0,1,Hostales / Hoteles,Este año,Tal vez,Medias (~20 km con algo de desnivel),9,"Sí, leve",Sin respuesta,A pie
32.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Alta,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",6.0,Verano,0,Francés,5.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,"Albergues públicos, Albergues privados, Hostales / Hoteles",Este año,Tal vez,Medias (~20 km con algo de desnivel),9,No,Sin respuesta,A pie
28.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Cultural/turístico",3.0,Verano,0,Francés,6.0,Sarria,100,Suaves,Zapatillas de trail running,1,0,1,"Hostales / Hoteles, Pensiones",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,Sin respuesta,A pie
32.0,Hombre,Colombia,0,No,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo",Desconocido,Primavera,0,Inglés,6.0,Ferrol,100,Exigentes,Zapatillas deportivas normales,1,1,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,Que se preparen en caminatas largas,A pie
29.0,Mujer,Colombia,0,NO,Básica (≤ 10 km ocasionalmente),Alta,Religioso,3.0,Invierno,1,Francés,5.0,Sarria,100,Moderadas,Zapatillas de trail running,1,0,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
35.0,Hombre,España,0,No,Moderada (10–20 km regularmente),Media,Religioso,6.0,Verano,0,Francés,6.0,Ponferrada,200,Exigentes,Botas de montaña,1,0,0,Albergues públicos,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Pásalp bien y conoce gente,A pie
32.0,Hombre,España,0,No,Básica (≤ 10 km ocasionalmente),Media,Cultural/turístico,6.0,Primavera,0,Francés,6.0,Triacastela,100,Moderadas,Zapatillas de trail running,1,0,0,Albergues públicos,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Usa calzado usado, no nuevo, ropa cómoda y no lleves mucha ropa",A pie
32.0,Hombre,México,0,No,Moderada (10–20 km regularmente),Media,"Deportivo, Religioso",Desconocido,Otoño,0,Inglés,6.0,Ferrol,100,Suaves,Botas de montaña,1,0,0,Albergues públicos,En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Hombre,Reino Unido,0,No,Moderada (10–20 km regularmente),Alta,"Cultural/turístico, Religioso",3.0,Invierno,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,1,Hostales / Hoteles,Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
31.0,Hombre,España,0,No,Ninguna,Alta,Cultural/turístico,Desconocido,Verano,0,Inglés,6.0,Ferrol,100,Moderadas,Playeros ,1,0,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,Sin respuesta,A pie
32.0,Mujer,España,0,No,Avanzada (rutas largas con mochila/montaña),Baja,"Cultural/turístico, Religioso",Desconocido,Otoño,0,Primitivo,6.0,Oviedo,200,Suaves,Zapatillas deportivas normales,1,0,0,"Albergues públicos, Albergues privados",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Etapas de ~20–25 km funcionan bien; cuida la hidratación. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Hombre,España,0,No,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Personal/reflexivo, Religioso",Desconocido,Primavera,0,Francés,8.0,Sarria,100,Suaves,Zapatillas de trail running,1,0,0,Albergues privados,Este año,Sí,Cortas y fáciles (≤ 15 km),8,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
38.0,Hombre,España,0,No,Ninguna,Media,"Cultural/turístico, Deportivo",Desconocido,Verano,0,Inglés,6.0,Ferrol,100,Moderadas,Zapatillas de trail running,1,0,1,"Hostales / Hoteles, Airbnb",Este año,Sí,Largas y exigentes (≥ 25 km),10,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,España,0,No,Avanzada (rutas largas con mochila/montaña),Media,Deportivo,3.0,Otoño,1,Portugués,12.0,Porto,200,Moderadas,Zapatillas deportivas normales,1,0,0,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
44.0,Hombre,España,0,No,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Deportivo",3.0,Otoño,1,Inglés,6.0,Ferrol,100,Moderadas,Zapatillas deportivas normales,1,0,1,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,México,1,Ligamento de rodilla inestable,Ninguna,Media,"Deportivo, Personal/reflexivo",6.0,Otoño,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,1,"Hostales / Hoteles, Airbnb",Este año,Sí,Largas y exigentes (≥ 25 km),8,"Sí, leve","Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
67.0,Mujer,España,1,Fascitis plantar,Avanzada (rutas largas con mochila/montaña),Baja,"Cultural/turístico, Personal/reflexivo, Religioso",Desconocido,Verano,0,Portugués,6.0,Vigo,100,Suaves,Botas de montaña,1,0,1,"Albergues públicos, Albergues privados",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Deportivo, Religioso",Desconocido,Otoño,0,Portugués,8.0,Tui,100,Suaves,Zapatillas deportivas normales,1,0,1,Hostales / Hoteles,Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",Desconocido,Verano,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas deportivas normales,1,0,1,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,México,0,No,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",Desconocido,Primavera,0,Francés,5.0,Sarria,100,Moderadas,Botas de montaña,1,0,0,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
67.0,Mujer,México,0,No,Avanzada (rutas largas con mochila/montaña),Media,"Cultural/turístico, Deportivo",6.0,Verano,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,1,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
22.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Deportivo, Personal/reflexivo",Desconocido,Verano,1,del Norte,13.0,Gijón,200,Exigentes,Zapatillas de trail running,1,1,0,Albergues públicos,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Baja,"Cultural/turístico, Deportivo, Religioso",Desconocido,Invierno,0,Francés,6.0,Sarria,100,Suaves,Botas de montaña,1,1,0,Albergues públicos,En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,Argentina,0,No,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Religioso",Desconocido,Invierno,1,Portugués,3.0,Pontevedra,100,Muy variables,Zapatillas de trail running,1,1,1,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Tal vez,Medias (~20 km con algo de desnivel),7,"Sí, leve","Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Mujer,Colombia,0,No,Moderada (10–20 km regularmente),Baja,"Deportivo, Personal/reflexivo, Religioso",6.0,Verano,0,Francés,6.0,Sarria,100,Muy variables,Playeros ,1,1,1,"Hostales / Hoteles, Pensiones",En los últimos 2 años,Tal vez,Medias (~20 km con algo de desnivel),6,"Sí, importante (me hizo abandonar)","Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
32.0,Hombre,España,0,No,Básica (≤ 10 km ocasionalmente),Baja,"Personal/reflexivo, Religioso",Desconocido,Otoño,0,Francés,6.0,Sarria,100,Exigentes,Sandalias de trekking,0,0,1,"Albergues privados, Hostales / Hoteles",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
37.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Religioso",Desconocido,Otoño,0,Inglés,9.0,Ferrol,100,Suaves,Playeros ,1,0,1,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),10,No,Sin respuesta,A pie
32.0,Mujer,Alemania,0,No,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Religioso",Desconocido,Primavera,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas deportivas normales,1,0,0,"Albergues públicos, Albergues privados",Este año,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
33.0,Hombre,España,1,Escoliosis,Moderada (10–20 km regularmente),Baja,"Cultural/turístico, Personal/reflexivo",3.0,Otoño,1,Francés,5.0,Sarria,100,Muy variables,Sandalias de trekking,1,0,0,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
37.0,Mujer,España,0,No,Avanzada (rutas largas con mochila/montaña),Alta,"Cultural/turístico, Personal/reflexivo, Religioso",3.0,Invierno,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,0,Albergues públicos,Más de 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",En bici
25.0,Mujer,Portugal,0,No,Básica (≤ 10 km ocasionalmente),Baja,"Cultural/turístico, Deportivo",Desconocido,Verano,0,Portugués,4.0,Pontevedra,100,Suaves,Playeros ,1,0,1,"Albergues públicos, Albergues privados",Este año,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
