edad,is_condicion_fisica,detalle_condicion,epoca,is_camino_realizado_prev,ruta,dias,distancia,is_calzado_adecuado,is_tr_mochila,is_reserva_aloj,etapa_ideal,nota,consejos,intensidad_km_dia,is_experto_senderismo,genero_Mujer,pais_Argentina,pais_Colombia,pais_EEUU,pais_España,pais_Francia,pais_Italia,pais_México,pais_Perú,pais_Portugal,pais_Reino Unido,calzado_Playeros ,calzado_Sandalias de trekking,calzado_Zapatillas de trail running,calzado_Zapatillas deportivas normales,modo_realizacion_A pie,modo_realizacion_En bici,"alojamiento_Albergues privados, Hostales / Hoteles",alojamiento_Albergues públicos,"alojamiento_Albergues públicos, Albergues privados","alojamiento_Albergues públicos, Albergues privados, Airbnb","alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles",alojamiento_Hostales / Hoteles,"alojamiento_Hostales / Hoteles, Airbnb","alojamiento_Hostales / Hoteles, Pensiones",alojamiento_No aplica,is_volver_a_hacer_Tal vez,"is_lesion_Sí, importante (me hizo abandonar)","is_lesion_Sí, leve","is_lesion_Sí, moderado","alojamiento_Albergues privados, Hostales / Hoteles.1",alojamiento_Albergues públicos.1,"alojamiento_Albergues públicos, Albergues privados.1","alojamiento_Albergues públicos, Albergues privados, Airbnb.1","alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles.1",alojamiento_Hostales / Hoteles.1,"alojamiento_Hostales / Hoteles, Airbnb.1","alojamiento_Hostales / Hoteles, Pensiones.1",alojamiento_No aplica.1,"motivo_Cultural/turístico, Deportivo","motivo_Cultural/turístico, Deportivo, Personal/reflexivo","motivo_Cultural/turístico, Deportivo, Religioso","motivo_Cultural/turístico, Personal/reflexivo","motivo_Cultural/turístico, Personal/reflexivo, Religioso","motivo_Cultural/turístico, Religioso",motivo_Deportivo,"motivo_Deportivo, Cultural/turístico","motivo_Deportivo, Cultural/turístico, Personal/reflexivo","motivo_Deportivo, Personal/reflexivo","motivo_Deportivo, Personal/reflexivo, Religioso","motivo_Deportivo, Religioso",motivo_Disfrutar de mis amigos,motivo_Personal/reflexivo,"motivo_Personal/reflexivo, Religioso",motivo_Religioso,"motivo_Religioso, Cultural/turístico","motivo_Religioso, Cultural/turístico, Personal/reflexivo","motivo_Religioso, Deportivo","motivo_Religioso, Deportivo, Cultural/turístico, Personal/reflexivo","motivo_Religioso, Deportivo, Personal/reflexivo","motivo_Religioso, Personal/reflexivo","motivo_Religioso, Personal/reflexivo, Una cosa te lleva  a la otra si darte cuenta.",motivo_Turismo,nivel_expereincia_previo_Básica (≤ 10 km ocasionalmente),nivel_expereincia_previo_Moderada (10–20 km regularmente),nivel_expereincia_previo_Ninguna,condicion_previa_Baja,condicion_previa_Media,dureza_Moderadas,dureza_Muy variables,dureza_Suaves,hace_cuanto_Este año,hace_cuanto_Más de 2 años,temporada_Otoño,temporada_Primavera,temporada_Verano,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-70,is_lesion,is_volver_binaria,prob_lesion_pred,prob_volver_pred,prob_transporte_mochila_pred,prob_reserva_aloj_pred,nota_pred,intensidad_km_dia_pred,ruta_recom_vecinos,epoca_recom_vecinos
23.0,0,No,Verano,1,Francés,10.0,100,1,0,1,Cortas y fáciles (≤ 15 km),8.0,Sin respuesta,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0225,0.995,0.175,0.26,8.685,9.903733766233769,Portugués,Verano
32.0,0,No,Otoño,0,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0.5175,0.8925,0.1175,0.05,8.7375,16.666666666666732,Primitivo,Invierno
32.0,0,No,Primavera,1,Portugués,6.0,100,1,0,1,Medias (~20 km con algo de desnivel),9.0,"Que se prepare un mínimo físicamente, que lleve en la mochila lo imprescindible y que le ponga muy buena actitud porque habrá momentos duros pero con alegría todo se lleva mejor!! ",16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0.7325,0.8425,0.2125,0.1675,8.74,16.66666666666673,Inglés,Invierno
32.0,0,No,Primavera,0,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Yo lo hice corriendo ,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.0325,0.9975,0.205,0.985,9.375,16.66666666666673,Francés,Primavera
31.0,0,No,Primavera,0,Francés,5.0,100,1,1,1,Largas y exigentes (≥ 25 km),10.0,Sin respuesta,20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0.65,0.9325,0.225,0.9775,8.5575,20.0,Francés,Verano
32.0,0,No,Primavera,0,Desconocido,5.0,200,1,0,1,Largas y exigentes (≥ 25 km),10.0,Que disfrute,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0625,0.995,0.2225,0.175,8.86,33.33333333333349,Francés,Verano
24.0,0,No,Verano,1,Portugués,6.0,100,1,1,1,Largas y exigentes (≥ 25 km),9.0,"respira, disfruta del paisaje y reflexiona todo eso que llevas en la cabeza durante la travesía; el sentimiento de paz al durante y al acabar es indescriptible ",16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.075,0.995,0.2075,0.2875,8.9825,16.666666666666732,Francés,Verano
32.0,0,No,Primavera,0,Portugués,4.0,100,1,0,1,Medias (~20 km con algo de desnivel),7.0,Que evite los fines de semana y la temporada alta de verano.,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.1125,0.2625,0.165,0.96,7.005,25.0,Inglés,Invierno
32.0,0,No,Verano,1,Portugués,6.0,100,1,0,1,Largas y exigentes (≥ 25 km),9.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0025,0.9925,0.05,0.2175,8.8825,16.66666666666673,Francés,Verano
29.0,0,No,Otoño,0,Portugués,6.0,100,1,0,0,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.005,0.995,0.1025,0.2725,8.7075,16.666666666666732,Francés,Otoño
32.0,0,No,Verano,1,Portugués,7.0,100,0,0,1,Medias (~20 km con algo de desnivel),10.0,Mente abierta y disfrutar del camino y de las personas,14.285714285714286,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0.615,0.9075,0.12,0.99,8.7425,14.285714285714366,Francés,Verano
32.0,0,No,Verano,0,Francés,5.0,100,1,0,1,Medias (~20 km con algo de desnivel),9.0,Importante buen calzado y buenos calcetines,20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.99,0.175,0.9975,8.5875,20.0,Francés,Verano
32.0,0,No,Verano,1,Francés,30.0,800,1,0,0,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,26.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0.005,0.9975,0.1325,0.04,8.4525,19.269590984623637,del Norte,Verano
32.0,0,No,Primavera,0,Primitivo,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0.4175,0.6675,0.17,0.595,8.5225,16.666666666666732,Francés,Primavera
32.0,0,No,Verano,0,Francés,5.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.0,0.9975,0.4475,1.0,8.68,20.0,Portugués,Verano
32.0,0,No,Verano,1,Portugués,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Que entrenará un poco varios meses antes,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0025,1.0,0.135,0.9975,8.485,16.66666666666673,Francés,Verano
32.0,0,No,Verano,1,Francés,6.0,100,1,0,0,Medias (~20 km con algo de desnivel),8.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0,1.0,0.0675,0.1825,8.7475,16.66666666666673,Portugués,Verano
30.0,0,No,Verano,0,del Norte,6.0,200,1,0,0,Medias (~20 km con algo de desnivel),9.0,Ir predispuesto a conocer gente y a pasárselo genial. El dolor es pasajero ;),33.333333333333336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0.18,0.29,0.3025,0.1325,6.925,33.33333333333349,Inglés,Invierno
32.0,0,No,Invierno,0,Portugués,8.0,100,1,0,1,Medias (~20 km con algo de desnivel),10.0,"Preparar muy muy bien los pies ya que es lo más importante. Y sobretodo, no pensar en el final del camino ni en la cantidad de km que quedan, sino disfrutar de cada etapa, porque cuando te das cuenta ya has llegado! ",12.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0.5225,0.835,0.3475,0.98,8.8325,12.5,Francés,Verano
32.0,0,No,Otoño,0,Primitivo,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Llevar un buen calzado y ropa para la lluvia 😊,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0075,1.0,0.16,0.965,8.885,16.666666666666732,Francés,Verano
32.0,0,No,Primavera,0,Portugués,8.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,"Llevar buen calzado y equipar bien la mochila (chubasquero, crema anti fricción, mini botiquín, enchufe ladron), estar consiente que se requerirá un gran esfuerzo físico y mental, e ir abierto a vivir esa maravillosa experiencia ",12.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0.6675,0.935,0.15,0.21,8.785,12.5,Francés,Primavera
32.0,1,Enfermedad Inflamatoria Intestinal,Primavera,0,Desconocido,6.0,100,1,0,1,Medias (~20 km con algo de desnivel),10.0,"Mucha confianza en su propio cuerpo y, sobre todo, en su mente. Y calzado adecuado y mucha vaselina ya que no me salió ni una ampolla!",16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.025,0.99,0.1475,0.97,8.3275,16.66666666666673,Francés,Otoño
16.0,0,No,Primavera,0,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.1175,0.9575,0.33,0.9775,9.12,16.666666666666732,Francés,Primavera
17.0,1,Escoliosis,Primavera,0,Francés,5.0,100,1,1,1,Medias (~20 km con algo de desnivel),9.0,"Que parctiquen antes y que lleven mucha agua, que no se paren mucho porque las ampollas duelen mas cuando te paras y que descansen bien",20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.735,0.9325,0.4,0.325,9.3925,20.0,Francés,Primavera
23.0,1,Ligamentos de la rodilla con facilidad de torcedura ,Primavera,1,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),9.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.48,0.805,0.215,0.975,8.8975,16.66666666666673,Francés,Invierno
32.0,0,No,Verano,0,Portugués,6.0,200,1,1,0,Medias (~20 km con algo de desnivel),7.0,Sin respuesta,33.333333333333336,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0.5025,0.8,0.23,0.2725,8.6225,33.33333333333349,Francés,Otoño
23.0,0,No,Verano,1,Primitivo,6.0,100,1,0,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.6825,0.9075,0.2,0.4875,8.5625,16.666666666666732,Francés,Verano
