Marca temporal,Edad,Género,País de origen,¿Tienes alguna condición física o lesión que deba tenerse en cuenta?,"Si tienes alguna condición física o lesión que deba tenerse en cuenta, cuál es?",¿Qué nivel de experiencia tenías en senderismo o caminatas largas?,¿Cómo era tu condición física antes de empezar el Camino?,Motivo/s principal/es para hacer el Camino,¿Con cuántas personas hiciste el Camino?,¿Qué época del año lo hiciste?,¿Habías hecho el camino anteriormente?,¿Qué ruta del Camino hiciste?,¿Cuántos días te llevó completarlo?,¿Desde donde lo empezaste?,¿Qué distancia total caminaste (aproximadamente)?,¿Qué tan duras fueron las etapas que hiciste en general?,¿Qué tipo de calzado usaste principalmente durante el Camino?,¿Tu calzado fue adecuado para el tipo de terreno y etapas?,¿Usaste transporte de mochila?,¿Reservaste alojamientos con antelación?,¿En qué tipo o tipos de alojamiento te hospedaste durante tu estancia?,¿Hace cuánto hiciste el Camino?,¿Volverías a hacer el Camino?,¿Cuál crees que es tu tipo ideal de etapa?,¿Qué nota le das a tu experiencia en el Camino? (0–10),¿Tuviste alguna lesión o problema físico durante el camino?,¿Qué consejos darías a alguien como tú antes de hacer el Camino?,Medio de transporte
2025-06-18 17:24:39.689,treinta y dos,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Media,Cultural/turístico,En grupo pequeño (3–6 personas),Verano,Sí,Portugués,cinco,Tui,100–200 km,Muy variables,Botas de montaña,Sí,No,Sí,Albergues privados,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,,
2025-06-18 19:24:04.347,29,Mujer,Portugal,No,,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,Solo/a,Otoño,No,Portugués,diez,Porto,100–200 km,Moderadas,Botas de montaña,Sí,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-06-18 19:38:11.252,treinta y cuatro,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,Sí,Portugués,7,A Guarda,100–200 km,Moderadas,Zapatillas deportivas normales,No,No,Sí,"Albergues privados, Hostales / Hoteles",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve",Mente abierta y disfrutar del camino y de las personas,
2025-06-18 21:56:08.560,treinta,Mujer,España,,,Ninguna,Media,"Deportivo, Cultural/turístico",En pareja,Verano,No,Francés,5,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,Importante buen calzado y buenos calcetines,
2025-06-19 00:51:25.045,veinticuatro,Mujer,España,No,,Moderada (10–20 km regularmente),Media,Personal/reflexivo,Solo/a,Verano,Sí,Francés,30,Roncesvalles,Más de 800 km,Moderadas,Zapatillas de trail running,Sí,No,No,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-06-19 08:35:50.941,veinticinco,Mujer,España,No,,Ninguna,Media,"Religioso, Deportivo, Personal/reflexivo",Solo/a,Primavera,No,Primitivo,6,Oviedo,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,Sí,Sí,"Albergues públicos, Albergues privados",Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, importante (me hizo abandonar)",,
2025-06-19 19:26:00.999,veinticuatro,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Deportivo, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,Francés,5,En Sarria,100–200 km,Suaves,Zapatillas de trail running,Sí,Sí,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-06-19 19:34:54.607,,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Religioso, Personal/reflexivo, Una cosa te lleva  a la otra si darte cuenta.",En grupo pequeño (3–6 personas),Verano,Sí,Portugués,Seis,Tui,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Que entrenará un poco varios meses antes,
2025-06-19 21:31:27.837,veinticuatro,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo",Solo/a,Verano,Sí,Francés,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,No,No aplica,Este año,Sí,Medias (~20 km con algo de desnivel),8,No,,
2025-06-22 12:07:14.678,30,Hombre,España,No,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,del Norte,diez,Gijón,200–400 km,Moderadas,Zapatillas de trail running,Sí,No,No,"Albergues públicos, Albergues privados, Hostales / Hoteles",Más de 2 años,Tal vez,Medias (~20 km con algo de desnivel),9,No,Ir predispuesto a conocer gente y a pasárselo genial. El dolor es pasajero ;),
2025-06-22 18:08:39.119,veinticuatro,Mujer,España,No,,Ninguna,Media,Personal/reflexivo,Solo/a,Invierno,No,Portugués,8,Caminha,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, moderado","Preparar muy muy bien los pies ya que es lo más importante. Y sobretodo, no pensar en el final del camino ni en la cantidad de km que quedan, sino disfrutar de cada etapa, porque cuando te das cuenta ya has llegado! ",
2025-06-24 13:16:07.236,veinticinco,Mujer,España,No,,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,En grupo pequeño (3–6 personas),Otoño,No,Primitivo,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Llevar un buen calzado y ropa para la lluvia 😊,
2025-06-26 18:52:47.543,veintiocho,Mujer,México,No,,Moderada (10–20 km regularmente),Baja,Personal/reflexivo,Solo/a,Primavera,No,Portugués,8,Tui,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Llevar buen calzado y equipar bien la mochila (chubasquero, crema anti fricción, mini botiquín, enchufe ladron), estar consiente que se requerirá un gran esfuerzo físico y mental, e ir abierto a vivir esa maravillosa experiencia ",
2025-06-30 21:51:03.581,veintidós,Mujer,España,Sí,Enfermedad Inflamatoria Intestinal,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Personal/reflexivo",En pareja,Primavera,No,,cuatro,Santiago - Fisterra,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Mucha confianza en su propio cuerpo y, sobre todo, en su mente. Y calzado adecuado y mucha vaselina ya que no me salió ni una ampolla!",
2025-07-01 21:04:06.385,16,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",En grupo organizado (>6),Primavera,No,Francés,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-07-02 21:40:57.079,17,Mujer,España,Sí,Escoliosis,Básica (≤ 10 km ocasionalmente),Baja,"Religioso, Deportivo, Personal/reflexivo",En grupo organizado (>6),Primavera,No,Francés,5,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Que parctiquen antes y que lleven mucha agua, que no se paren mucho porque las ampollas duelen mas cuando te paras y que descansen bien",
2025-07-03 09:55:23.578,23,Mujer,España,Sí,Ligamentos de la rodilla con facilidad de torcedura ,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,Solo/a,Primavera,Sí,Francés,6,Sárria,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, moderado",,
2025-07-03 10:56:05.650,treinta,Mujer,Italia,,,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,En grupo pequeño (3–6 personas),Verano,No,Portugués,once,Porto,200–400 km,Muy variables,Zapatillas de trail running,Sí,Sí,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),7,"Sí, moderado",,
2025-07-04 00:21:04.543,23,Mujer,España,No,,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,Solo/a,Verano,Sí,Primitivo,cinco,Lugo,100–200 km,Muy variables,Botas de montaña,Sí,No,Sí,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve",,
2025-07-04 08:41:57.317,veinticinco,Mujer,España,No,No,Moderada (10–20 km regularmente),Media,"Religioso, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Primavera,No,Portugués,seis,Tui,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Recomendaría prepararse físicamente con antelación, llevar solo lo esencial y usar calzado ya adaptado. Es importante caminar a tu ritmo, sin compararte, y mantener una actitud abierta. El Camino no es solo un recorrido físico, sino también una experiencia personal y humana muy enriquecedora.",
2025-07-06 21:50:13.355,15,Mujer,España,,ninguna,Ninguna,Media,Religioso,En grupo organizado (>6),Primavera,No,Francés,cuatro,Sarria,100–200 km,Muy variables,Sandalias de trekking,Sí,Sí,Sí,"Albergues públicos, Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Disfrutar, aunque algunas veces pienses que no puedes, no dudes en seguir adelante porque la satisfacción al llegar a la catedral es única.",
2025-07-06 22:14:36.107,26,Mujer,España,No,,Moderada (10–20 km regularmente),Alta,Cultural/turístico,Solo/a,Verano,No,Francés,5,Sarria,100–200 km,Suaves,Zapatillas de trail running,Sí,No,Sí,Albergues públicos,Este año,Sí,Largas y exigentes (≥ 25 km),9,No,,
2025-07-08 16:01:13.077,26,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Alta,Personal/reflexivo,Solo/a,Verano,No,Portugués,siete,La Guardia,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,Hostales / Hoteles,Este año,Tal vez,Medias (~20 km con algo de desnivel),9,"Sí, leve",,
2025-07-11 21:13:03.338,diecisiete,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Alta,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",En grupo organizado (>6),Verano,No,Francés,5,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,"Albergues públicos, Albergues privados, Hostales / Hoteles",Este año,Tal vez,Medias (~20 km con algo de desnivel),9,No,,
2025-07-13 22:26:00.331,28,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Cultural/turístico",En grupo pequeño (3–6 personas),Verano,No,Francés,cinco,Sarria,100–200 km,Suaves,Zapatillas de trail running,Sí,No,Sí,"Hostales / Hoteles, Pensiones",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,
2025-07-15 19:59:43.989,veintiséis,Hombre,Colombia,No,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo",En pareja,Primavera,No,Inglés,seis,Ferrol,100–200 km,Exigentes,Zapatillas deportivas normales,Sí,Sí,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,Que se preparen en caminatas largas,
2025-07-23 08:00:31.096,29,Mujer,Colombia,,NO,Básica (≤ 10 km ocasionalmente),Alta,Religioso,En grupo pequeño (3–6 personas),Invierno,Sí,Francés,5,Sarrid,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-08-03 02:32:14.523,35,Hombre,España,No,No,Moderada (10–20 km regularmente),Media,Religioso,En grupo organizado (>6),Verano,No,Francés,ocho,Ponferrada,200–400 km,Exigentes,,Sí,No,No,Albergues públicos,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Pásalp bien y conoce gente,
2025-08-04 17:38:12.380,Eso no se pregunta,Hombre,España,,,Básica (≤ 10 km ocasionalmente),Media,Cultural/turístico,En grupo organizado (>6),Primavera,No,Francés,seis,Triacastela,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,No,Albergues públicos,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Usa calzado usado, no nuevo, ropa cómoda y no lleves mucha ropa",
2024-06-25 02:40:38.000,treinta y siete,Hombre,México,,,Moderada (10–20 km regularmente),Media,"Deportivo, Religioso",Solo/a,Otoño,No,Inglés,siete,Ferrol,100–200 km,Suaves,Botas de montaña,Sí,No,No,Albergues públicos,En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-05-23 02:19:29.000,cuarenta,Hombre,Reino Unido,No,,Moderada (10–20 km regularmente),Alta,"Cultural/turístico, Religioso",En grupo pequeño (3–6 personas),Invierno,No,Francés,seis,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-11-14 06:20:38.000,31,Hombre,España,No,,Ninguna,Alta,Cultural/turístico,Solo/a,Verano,No,Inglés,seis,Ferrol,100–200 km,Moderadas,Playeros ,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,A pie
2024-12-03 06:15:39.000,veintinueve,Mujer,España,,,Avanzada (rutas largas con mochila/montaña),Baja,"Cultural/turístico, Religioso",Solo/a,Otoño,No,Primitivo,veinte,Oviedo,200–400 km,Suaves,Zapatillas deportivas normales,Sí,No,No,"Albergues públicos, Albergues privados",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Etapas de ~20–25 km funcionan bien; cuida la hidratación. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-04-14 22:06:33.000,treinta y uno,Hombre,España,,,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Personal/reflexivo, Religioso",En pareja,Primavera,No,Francés,8,Sarria,100–200 km,Suaves,Zapatillas de trail running,Sí,No,No,Albergues privados,Este año,Sí,Cortas y fáciles (≤ 15 km),8,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-06-09 07:26:07.000,38,Hombre,España,,,Ninguna,Media,"Cultural/turístico, Deportivo",Solo/a,Verano,No,Inglés,seis,Ferrol,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Largas y exigentes (≥ 25 km),10,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-06-16 08:19:50.000,veinte,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Media,Deportivo,En grupo pequeño (3–6 personas),Otoño,Sí,Portugués,12,Porto,200–400 km,Moderadas,Zapatillas deportivas normales,Sí,No,No,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-03-18 05:00:17.000,44,Hombre,España,No,,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Deportivo",En grupo pequeño (3–6 personas),Otoño,Sí,Inglés,seis,Ferrol,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-06-19 05:14:32.000,cuarenta y cinco,Mujer,México,Sí,Ligamento de rodilla inestable,Ninguna,Media,"Deportivo, Personal/reflexivo",En grupo organizado (>6),Otoño,No,Francés,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Largas y exigentes (≥ 25 km),8,"Sí, leve","Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-08-08 18:47:19.000,67,Mujer,España,Sí,Fascitis plantar,Avanzada (rutas largas con mochila/montaña),Baja,"Cultural/turístico, Personal/reflexivo, Religioso",Solo/a,Verano,No,Portugués,seis,Vigo,100–200 km,Suaves,Botas de montaña,Sí,No,Sí,"Albergues públicos, Albergues privados",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-08-07 00:00:49.000,veintisiete,Mujer,España,No,,Moderada (10–20 km regularmente),Media,"Deportivo, Religioso",Solo/a,Otoño,No,Portugués,8,Tui,100–200 km,Suaves,Zapatillas deportivas normales,Sí,No,Sí,Hostales / Hoteles,Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-12-04 12:43:59.000,treinta y dos,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",En pareja,Verano,No,Francés,seis,Sarria,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-03-11 12:04:59.000,cuarenta y ocho,Mujer,México,No,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",Solo/a,Primavera,No,Francés,5,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-01-11 01:15:28.000,67,Mujer,México,No,,Avanzada (rutas largas con mochila/montaña),Media,"Cultural/turístico, Deportivo",En grupo organizado (>6),Verano,No,Francés,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,,A pie
